cut,color,clarity,city,carat,depth,table,x,y,z,price
4,4,4,11,0.3,62.9,54.0,4.28,4.31,2.7,526
1,4,3,8,0.9,64.3,60.0,6.0,6.1,3.89,3115
2,4,2,12,0.58,61.9,59.0,5.33,5.36,3.31,1389
4,5,6,2,0.38,63.5,57.0,4.6,4.63,2.93,752
4,3,5,12,1.21,62.0,58.0,6.73,6.82,4.2,7787
2,3,2,7,0.54,61.4,54.0,5.27,5.35,3.26,1384
2,1,5,8,0.31,60.7,57.0,4.39,4.41,2.67,642
3,5,4,9,0.33,61.1,59.0,4.44,4.47,2.72,521
3,1,2,6,0.7,61.2,60.0,5.71,5.69,3.49,2444
2,6,2,7,0.59,61.3,57.0,5.37,5.4,3.3,1228
2,5,2,6,0.7,61.6,53.0,5.73,5.76,3.54,2110
3,4,3,3,1.59,62.6,59.0,7.42,7.4,4.64,9385
2,1,7,8,0.37,61.6,55.0,4.62,4.63,2.85,1162
2,5,4,3,0.7,61.8,55.0,5.67,5.72,3.52,2469
4,4,7,0,0.3,63.5,55.0,4.28,4.25,2.71,776
3,5,2,8,1.32,62.2,58.0,6.99,7.04,4.36,6171
3,2,1,0,0.3,60.7,58.0,4.37,4.33,2.64,1013
3,3,2,3,0.97,62.6,58.0,6.24,6.18,3.89,4400
2,4,3,1,1.25,62.2,55.4,6.89,6.94,4.29,5932
3,5,4,0,0.3,61.9,59.0,4.31,4.24,2.65,527
3,4,3,8,1.11,61.9,59.0,6.6,6.56,4.07,4973
4,4,4,9,0.34,62.3,57.0,4.45,4.48,2.78,590
2,0,5,11,1.2,62.3,56.0,6.81,6.78,4.23,9912
4,1,2,9,0.41,63.3,57.0,4.75,4.73,3.0,969
2,2,1,3,1.04,61.8,55.0,6.56,6.49,4.03,10984
1,1,4,9,1.01,63.8,60.0,6.25,6.23,3.98,7127
2,1,2,2,0.57,61.9,57.0,5.35,5.31,3.3,2257
2,2,7,3,1.33,61.9,55.0,7.02,7.07,4.36,15031
3,1,6,4,1.22,61.1,60.0,6.87,6.85,4.19,13824
4,0,2,0,1.05,61.6,61.0,6.5,6.55,4.02,5255
2,5,5,9,1.24,62.4,57.0,6.82,6.9,4.28,5638
2,5,2,6,0.52,61.8,55.0,5.16,5.19,3.2,1074
4,6,2,2,2.22,58.7,60.0,8.51,8.57,5.01,13782
2,0,2,7,0.51,62.4,57.0,5.13,5.09,3.19,1687
3,2,5,6,0.36,59.4,56.0,4.71,4.69,2.79,905
1,1,2,6,0.45,63.9,57.0,4.86,4.81,3.09,1063
3,0,5,8,0.31,60.7,59.0,4.35,4.38,2.65,734
3,5,2,11,1.08,62.2,58.0,6.6,6.56,4.09,4476
4,1,4,9,0.46,58.7,60.0,5.08,5.15,3.0,1452
2,3,5,11,1.01,63.0,57.0,6.42,6.35,4.02,6027
2,2,6,0,0.31,62.4,54.0,4.33,4.35,2.71,840
2,2,2,3,0.82,61.3,55.0,6.06,6.08,3.72,3439
1,0,2,3,2.04,61.9,60.0,8.15,8.11,5.03,18468
4,4,6,7,1.08,63.1,57.0,6.57,6.52,4.13,6623
3,0,5,1,0.57,61.9,58.0,5.32,5.35,3.3,1944
2,0,4,12,0.31,60.5,57.0,4.39,4.41,2.66,752
2,2,6,10,0.57,61.3,56.0,5.4,5.37,3.3,3343
4,2,7,6,0.7,58.5,60.0,5.82,5.94,3.44,3028
2,1,4,4,0.41,61.7,57.0,4.76,4.8,2.95,1079
2,1,7,11,0.32,61.0,55.0,4.43,4.45,2.71,808
1,5,4,12,0.71,64.2,56.0,5.62,5.66,3.62,2161
2,1,5,10,0.44,61.6,54.0,4.9,4.97,3.04,936
0,6,0,0,1.83,70.0,58.0,7.34,7.28,5.12,5083
2,2,7,6,0.57,60.6,56.0,5.35,5.38,3.25,2722
2,0,2,4,0.52,61.8,57.0,5.14,5.19,3.19,1600
3,4,0,2,1.51,60.9,56.0,7.38,7.26,4.46,4404
4,1,5,3,0.91,62.9,55.0,6.13,6.17,3.87,4823
0,1,6,3,1.01,66.1,55.0,6.19,6.1,4.06,8529
2,1,2,3,1.0,62.4,55.0,6.34,6.42,3.98,6324
2,2,4,6,1.03,60.7,56.0,6.6,6.54,3.99,7429
2,4,3,8,2.03,61.8,56.0,8.1,8.15,5.02,15143
3,3,7,10,0.3,61.2,58.0,4.32,4.34,2.65,684
4,2,5,5,0.35,61.1,62.0,4.5,4.54,2.76,706
2,4,5,5,0.9,61.9,58.0,6.2,6.24,3.85,4403
1,3,5,3,0.51,63.5,57.0,5.05,5.06,3.21,1343
4,5,7,0,0.43,60.5,59.0,4.86,4.89,2.95,838
2,5,4,1,0.59,61.8,55.0,5.41,5.43,3.35,1401
2,4,5,2,0.3,62.4,54.0,4.31,4.34,2.7,491
2,1,4,2,0.64,60.8,56.0,5.61,5.59,3.41,2679
3,0,2,10,1.09,61.6,58.0,6.61,6.57,4.06,5799
2,2,3,8,0.54,62.2,56.0,5.21,5.24,3.25,1065
2,0,4,6,0.51,61.6,57.0,5.13,5.16,3.17,1962
1,3,5,12,1.02,63.7,57.0,6.24,6.31,4.0,5943
2,5,5,9,1.65,61.5,57.0,7.59,7.65,4.69,12495
2,5,2,1,1.18,62.2,56.0,6.85,6.75,4.23,5088
3,1,3,5,1.2,62.6,56.0,6.84,6.77,4.26,6397
3,4,2,4,1.0,59.0,60.0,6.52,6.56,3.86,4389
2,4,3,5,1.04,61.7,57.0,6.54,6.49,4.02,4543
2,2,7,12,0.54,62.1,54.0,5.24,5.26,3.26,2180
3,0,2,5,0.52,60.7,58.0,5.23,5.18,3.16,1376
2,0,3,10,0.72,61.8,56.0,5.75,5.78,3.56,2618
4,3,2,3,0.3,61.0,58.0,4.3,4.32,2.63,432
3,3,2,7,0.41,61.3,58.0,4.8,4.76,2.93,923
2,3,4,7,0.72,61.0,55.0,5.81,5.83,3.55,3478
4,5,5,3,0.35,62.9,57.0,4.5,4.53,2.84,491
2,1,6,0,0.42,61.8,56.0,4.81,4.83,2.98,1176
2,2,2,2,0.63,62.6,56.0,5.53,5.49,3.45,1698
4,1,3,12,0.9,63.2,61.0,6.06,5.99,3.81,3239
4,4,7,10,0.51,62.2,61.0,5.06,5.1,3.16,1577
2,3,6,5,0.4,61.3,56.0,4.74,4.75,2.91,977
2,1,5,2,0.41,61.8,54.0,4.76,4.79,2.95,935
4,1,5,12,0.91,59.4,59.0,6.3,6.36,3.76,4795
2,1,3,9,1.1,61.6,56.0,6.66,6.63,4.09,5359
1,0,2,10,0.31,63.5,57.0,4.28,4.32,2.73,571
2,2,3,1,1.11,61.7,55.0,6.66,6.63,4.1,4942
2,4,6,8,0.32,60.4,57.0,4.42,4.46,2.68,730
2,5,6,1,0.43,61.6,54.0,4.88,4.92,3.02,848
1,2,2,11,0.71,63.9,57.0,5.57,5.61,3.57,2331
1,2,2,7,1.01,64.2,58.0,6.31,6.33,4.06,4199
2,4,1,3,1.23,61.3,57.0,6.92,6.87,4.23,8585
3,5,5,1,1.59,59.9,60.0,7.61,7.57,4.55,9474
2,2,5,9,0.27,60.3,56.0,4.24,4.27,2.56,577
4,3,3,10,1.0,62.8,57.0,6.31,6.37,3.98,4207
2,2,5,2,0.5,62.0,56.0,5.07,5.11,3.15,1581
3,1,7,3,0.31,61.3,60.0,4.33,4.35,2.66,816
3,5,5,3,1.5,62.3,58.0,7.31,7.26,4.54,8820
1,0,5,9,0.62,58.9,64.0,5.62,5.55,3.29,2288
4,4,3,1,0.39,62.4,59.0,4.58,4.65,2.88,562
3,1,3,3,1.81,58.2,61.0,8.09,8.02,4.69,13561
1,0,3,3,0.42,63.1,56.0,4.74,4.8,3.01,653
3,1,2,8,1.0,61.0,61.0,6.45,6.4,3.92,4805
4,0,6,8,1.06,61.8,57.0,6.49,6.52,4.03,11815
2,3,4,9,1.2,62.6,54.3,6.76,6.8,4.25,8687
3,2,5,4,0.32,61.1,58.0,4.42,4.39,2.69,828
1,3,5,6,0.31,64.4,54.0,4.24,4.29,2.75,531
2,3,3,10,0.72,62.3,54.0,5.76,5.79,3.6,2295
1,1,6,2,0.5,58.3,62.0,5.16,5.23,3.03,2008
2,2,4,6,0.27,61.7,57.0,4.15,4.18,2.57,577
2,2,3,11,0.35,62.8,55.0,4.53,4.48,2.83,591
2,3,5,3,1.75,62.1,57.0,7.73,7.69,4.79,16803
2,5,2,7,0.38,62.3,56.0,4.58,4.63,2.87,581
1,0,6,1,0.3,63.3,61.0,4.21,4.23,2.67,825
2,3,6,1,0.39,62.0,56.0,4.66,4.7,2.9,978
2,0,2,7,0.35,61.6,57.0,4.54,4.55,2.8,644
2,2,5,8,0.35,62.4,57.0,4.5,4.51,2.81,706
2,0,4,1,0.42,61.4,55.0,4.8,4.9,2.98,1006
2,0,3,11,1.08,60.2,57.0,6.63,6.67,4.0,5247
4,3,3,9,1.07,62.9,59.0,6.51,6.58,4.12,4321
3,5,4,5,0.33,61.1,59.0,4.47,4.44,2.72,668
4,5,5,3,1.0,63.2,58.0,6.43,6.32,4.03,3265
2,6,4,1,0.43,62.1,55.0,4.84,4.86,3.01,679
2,3,5,11,1.59,61.8,56.0,7.51,7.44,4.62,9794
2,2,3,3,0.72,61.1,59.0,5.74,5.79,3.52,2466
3,2,3,1,0.6,59.5,61.0,5.48,5.45,3.26,1272
3,4,2,7,1.73,62.4,58.0,7.61,7.64,4.76,11969
2,4,2,5,1.52,61.4,55.0,7.38,7.48,4.56,10239
3,2,5,4,0.53,61.6,57.1,5.15,5.21,3.19,1712
2,4,7,1,1.11,61.4,57.0,6.63,6.67,4.08,6837
3,4,3,9,2.0,58.9,57.0,8.09,58.9,8.06,12210
3,2,5,2,0.54,59.5,58.0,5.36,5.29,3.17,1786
2,3,1,1,0.51,61.4,54.0,5.18,5.24,3.2,2208
4,0,3,10,1.11,59.9,57.0,6.72,6.74,4.03,5042
3,6,4,3,1.52,62.4,59.0,7.36,7.31,4.58,8258
2,4,3,3,2.02,62.4,56.0,8.14,8.04,5.06,12680
4,5,3,3,1.01,61.4,63.0,6.33,6.38,3.9,3792
4,4,4,12,0.7,62.4,57.0,5.64,5.7,3.54,2145
2,1,4,10,0.7,62.1,56.0,5.7,5.66,3.53,3472
4,2,6,6,0.32,61.5,56.0,4.38,4.4,2.7,886
3,6,5,10,0.31,62.5,60.0,4.31,4.36,2.71,380
3,4,3,10,1.26,61.3,57.0,6.96,6.87,4.24,6350
3,2,5,1,0.5,62.2,59.0,5.06,5.1,3.16,1436
2,1,2,0,0.51,62.1,55.0,5.09,5.15,3.18,1438
4,2,6,4,1.01,62.8,60.0,6.4,6.34,4.0,9667
3,1,2,11,1.0,61.7,58.0,6.42,6.35,3.94,5396
3,3,0,7,1.13,61.2,58.0,6.77,6.66,4.11,3746
3,3,5,1,1.0,60.0,59.0,6.54,6.46,3.9,6451
2,2,4,6,1.21,59.7,57.0,6.94,6.92,4.14,9335
2,5,2,1,0.34,60.2,57.0,4.54,4.5,2.72,589
3,5,4,10,1.22,61.1,58.0,6.91,6.84,4.2,6121
3,2,3,2,0.9,58.5,60.0,6.3,6.25,3.67,2681
2,5,7,11,1.51,61.6,58.0,7.35,7.4,4.54,10821
1,3,2,8,1.01,63.6,57.0,6.33,6.37,4.04,4588
4,1,5,9,0.72,62.9,57.0,5.68,5.73,3.59,2990
2,1,5,3,0.32,62.0,57.0,4.39,4.41,2.73,702
4,2,2,10,0.9,61.7,60.0,6.19,6.22,3.83,3854
2,2,5,4,0.82,61.3,56.0,6.02,6.05,3.7,4931
2,3,7,12,0.38,62.2,54.3,4.63,4.66,2.89,929
2,0,3,4,1.05,62.1,58.0,6.49,6.52,4.04,5702
2,1,5,8,0.52,61.3,55.0,5.19,5.22,3.19,1644
4,1,3,0,0.7,62.6,55.0,5.62,5.69,3.54,2263
1,4,5,10,2.01,64.1,59.0,7.91,7.85,5.05,18474
3,2,2,12,0.9,62.0,55.0,6.2,6.16,3.83,4183
4,3,5,0,0.33,59.3,61.0,4.49,4.51,2.67,579
3,2,5,12,0.41,60.3,60.0,4.84,4.81,2.91,1107
2,0,5,1,0.56,60.9,56.0,5.32,5.35,3.25,1963
2,2,5,4,1.12,61.2,56.0,6.67,6.73,4.11,8063
3,1,5,3,1.51,62.6,60.0,7.28,7.22,4.54,14844
4,1,7,12,0.23,60.9,60.0,3.96,3.99,2.42,530
2,0,5,3,0.32,61.1,56.0,4.41,4.39,2.69,972
3,3,4,2,0.41,61.7,57.0,4.78,4.75,2.94,961
4,2,6,5,0.7,63.0,60.0,5.59,5.62,3.53,3261
3,3,4,1,0.51,62.3,59.0,5.12,5.06,3.17,1781
2,6,2,11,1.2,62.1,55.0,6.81,6.84,4.24,5002
1,1,5,10,0.5,63.7,59.0,4.99,5.03,3.19,1407
4,0,2,4,0.71,63.1,56.0,5.73,5.68,3.6,2743
2,1,5,11,0.36,62.6,56.0,4.56,4.52,2.84,1013
1,1,2,12,0.43,63.4,56.0,4.77,4.79,3.03,718
3,5,2,12,0.31,62.8,60.0,4.31,4.29,2.7,537
4,1,1,12,1.02,58.1,59.0,6.71,6.75,3.91,11420
2,1,6,10,0.4,61.5,56.0,4.7,4.73,2.9,1333
3,3,6,10,0.42,59.3,59.0,4.92,4.9,2.91,1235
4,1,2,12,0.41,62.4,55.0,4.74,4.78,2.97,755
1,0,3,12,0.43,63.3,57.0,4.79,4.82,3.04,669
4,0,7,10,0.23,61.0,59.0,3.95,3.98,2.42,530
2,3,5,7,1.1,62.0,56.0,6.68,6.6,4.12,6653
2,4,5,12,0.32,62.0,55.0,4.42,4.39,2.73,648
2,4,5,10,0.55,62.5,54.0,5.24,5.29,3.29,1402
2,3,1,4,0.39,61.6,56.0,4.69,4.73,2.9,1201
2,3,5,6,1.01,61.9,56.0,6.42,6.46,3.99,6439
4,3,5,5,1.04,62.3,54.0,6.49,6.55,4.06,6095
4,5,2,4,0.59,62.8,59.0,5.34,5.36,3.36,1109
4,2,1,7,0.25,61.5,56.0,4.04,4.06,2.48,560
3,3,4,5,0.37,61.4,58.0,4.58,4.61,2.82,746
0,3,2,10,1.01,65.1,57.0,6.27,6.22,4.07,2993
2,4,7,2,0.78,62.1,56.0,5.88,5.9,3.66,3581
1,1,2,10,0.75,63.4,57.0,5.75,5.77,3.65,2674
4,3,3,3,0.72,63.3,58.0,5.72,5.68,3.61,2246
2,2,6,10,0.73,61.8,54.0,5.8,5.78,3.58,3990
4,2,2,6,0.7,63.1,60.0,5.62,5.63,3.55,2445
4,4,2,3,0.3,61.3,61.0,4.25,4.27,2.61,421
2,0,5,1,0.51,62.5,56.0,5.13,5.11,3.2,2056
3,3,3,11,2.38,62.4,58.0,8.59,8.47,5.32,14648
2,4,7,11,0.3,61.9,54.5,4.31,4.35,2.68,631
3,2,2,3,0.52,61.5,60.0,5.15,5.16,3.17,1191
4,5,2,5,0.87,63.6,55.8,6.07,6.1,3.87,2791
2,3,1,5,0.41,62.1,57.0,4.76,4.77,2.96,1276
2,3,5,5,1.05,60.8,57.0,6.65,6.58,4.02,6604
1,5,2,4,2.22,57.8,58.0,8.58,8.54,4.95,17151
4,0,4,7,0.7,61.5,55.0,5.7,5.74,3.52,3239
2,1,5,10,0.58,62.3,54.0,5.39,5.43,3.37,1683
2,2,7,11,0.66,61.2,57.0,5.63,5.58,3.43,2732
3,5,5,10,1.57,62.2,59.0,7.44,7.42,4.62,9478
2,3,3,1,0.33,61.7,55.0,4.46,4.48,2.76,463
2,5,5,9,0.7,62.5,56.0,5.66,5.7,3.55,2232
3,3,2,1,0.71,61.7,58.0,5.74,5.71,3.53,2386
2,4,3,2,0.53,61.5,56.0,5.21,5.23,3.21,1000
2,1,5,2,0.55,62.5,56.0,5.26,5.23,3.28,2030
3,3,2,1,0.41,61.7,59.0,4.71,4.73,2.91,719
2,3,4,12,0.32,61.6,56.0,4.42,4.38,2.71,828
0,1,2,12,1.1,65.5,57.0,6.45,6.37,4.2,3891
4,6,2,0,2.01,63.4,57.0,7.97,7.89,5.03,11566
3,3,5,3,1.51,62.0,57.0,7.38,7.33,4.56,12571
1,1,7,8,0.25,63.1,56.0,4.0,4.05,2.54,576
1,2,4,10,1.04,63.9,55.0,6.49,6.4,4.12,6653
3,1,5,9,0.78,62.8,60.0,5.86,5.79,3.66,3494
3,3,4,12,0.41,61.9,58.0,4.78,4.75,2.95,961
2,0,7,7,0.31,61.9,57.0,4.31,4.35,2.68,766
3,4,2,10,0.58,59.7,57.0,5.47,5.41,3.25,1332
4,2,7,3,0.72,59.2,63.0,5.77,5.86,3.44,3952
4,6,2,10,1.51,62.3,59.0,7.22,7.28,4.52,7637
1,0,3,8,1.01,61.5,56.0,6.36,6.42,3.93,4260
2,3,3,11,0.9,62.3,56.0,6.14,6.21,3.85,3718
2,2,5,10,0.31,62.3,57.0,4.3,4.34,2.69,625
2,0,5,1,0.4,61.3,56.0,4.79,4.74,2.92,1050
4,2,3,6,1.07,59.4,60.0,6.68,6.75,3.99,4552
2,2,3,3,1.07,61.6,56.0,0.0,6.62,0.0,4954
4,1,5,10,0.72,63.0,58.0,5.69,5.73,3.6,3065
4,3,4,10,1.53,62.8,59.0,7.32,7.36,4.61,13189
2,1,4,1,0.52,60.0,56.0,5.25,5.29,3.16,1883
2,2,6,8,0.32,61.5,56.0,4.44,4.45,2.73,947
4,2,6,10,0.5,62.2,57.0,5.03,5.07,3.14,2121
2,1,2,10,0.59,61.4,56.0,5.36,5.39,3.3,1664
2,1,7,10,0.3,62.3,56.0,4.3,4.34,2.69,766
3,3,3,1,0.33,62.6,58.0,4.4,4.42,2.76,434
3,1,2,1,0.32,62.2,57.0,4.43,4.38,2.74,720
3,2,2,5,1.62,62.6,58.0,7.48,7.53,4.7,13177
2,4,3,2,2.26,62.2,56.0,8.38,8.35,5.2,17312
2,2,5,10,1.01,62.0,56.0,6.51,6.46,4.02,6533
2,2,3,10,1.29,61.7,54.0,7.08,6.99,4.34,6509
2,4,2,3,0.91,62.4,57.0,6.18,6.23,3.87,3635
2,6,4,3,0.32,62.0,54.7,4.39,4.42,2.73,442
3,2,4,12,0.41,61.1,58.0,4.78,4.74,2.91,1076
3,1,2,2,0.42,62.3,58.0,4.81,4.76,2.98,992
4,4,5,2,0.7,60.0,57.0,5.74,5.8,3.46,2335
4,5,6,1,0.83,61.8,56.0,6.0,6.03,3.72,3774
3,4,3,2,1.52,60.7,60.0,7.55,7.32,4.5,6544
1,3,2,6,0.31,63.3,57.0,4.3,4.33,2.73,431
0,1,7,10,0.3,66.6,54.0,4.14,4.18,2.77,586
2,3,2,7,0.85,62.2,56.0,6.06,6.09,3.78,3403
2,3,2,0,1.02,62.4,56.0,6.42,6.37,3.99,4044
4,2,5,2,0.32,62.8,57.0,4.33,4.36,2.73,645
2,3,7,9,0.55,60.5,56.0,5.36,5.37,3.24,1948
1,6,4,3,0.91,64.2,60.0,6.01,5.95,3.84,3210
3,6,2,5,2.02,61.6,58.0,8.14,8.1,5.0,12431
3,6,5,7,1.19,62.8,57.0,6.78,6.7,4.23,4761
2,6,1,9,0.3,61.5,57.0,4.29,4.36,2.66,489
2,3,6,2,0.67,62.4,55.0,5.6,5.62,3.5,2577
4,5,7,0,1.2,59.9,55.0,6.88,6.94,4.14,6558
3,6,2,8,0.79,58.8,62.0,6.03,6.01,3.54,1924
2,1,7,1,1.23,61.7,57.0,6.85,6.91,4.25,12539
3,1,6,9,0.24,60.7,58.0,4.01,4.03,2.44,553
1,1,2,1,0.53,63.6,56.0,5.19,5.1,3.27,1224
2,0,2,10,0.36,60.3,56.0,4.65,4.61,2.79,851
2,1,5,10,1.01,61.9,55.0,6.44,6.38,3.97,6787
2,4,2,7,0.38,61.2,56.0,4.7,4.74,2.89,697
4,3,5,2,1.51,63.5,59.0,7.2,7.13,4.55,12906
2,2,4,10,0.31,61.6,56.0,4.33,4.36,2.68,695
4,0,5,10,0.7,62.6,58.0,5.67,5.7,3.56,3053
4,3,3,1,0.9,63.2,58.0,6.05,6.1,3.84,3787
4,5,5,3,0.83,61.6,58.0,6.05,6.07,3.73,2865
3,2,2,7,1.22,62.5,59.0,6.78,6.83,4.25,6932
4,5,3,0,0.31,60.6,61.0,4.4,4.45,2.68,383
1,2,2,4,0.4,63.6,59.0,4.64,4.67,2.96,678
2,3,4,1,0.51,60.4,59.0,5.16,5.21,3.13,1668
2,1,7,3,0.4,61.6,56.0,4.73,4.78,2.93,988
4,5,5,11,2.04,61.0,61.0,8.08,8.14,4.95,16616
4,5,2,4,2.31,62.5,55.0,8.43,8.5,5.29,16801
2,1,5,8,0.4,62.4,56.0,4.74,4.71,2.95,975
2,0,5,10,1.01,62.1,58.0,6.4,6.42,3.98,8119
3,3,7,2,1.01,61.4,58.0,6.46,6.51,3.98,6843
2,3,7,12,0.31,61.4,56.0,4.38,4.35,2.68,907
2,1,6,7,0.41,61.1,56.0,4.8,4.82,2.94,1745
3,1,3,1,1.1,60.7,58.0,6.77,6.65,4.07,4829
4,3,4,11,0.34,60.4,61.0,4.48,4.53,2.72,686
2,0,4,6,0.46,61.6,57.0,4.95,4.98,3.06,1637
4,2,3,12,0.53,60.5,60.0,5.19,5.23,3.15,1132
2,2,0,8,1.13,62.2,55.0,6.68,6.63,4.14,3607
2,3,7,10,0.33,62.3,56.0,4.43,4.47,2.77,713
2,6,2,5,1.58,61.6,56.0,7.53,7.5,4.63,7592
2,3,3,1,0.38,61.7,56.0,4.64,4.67,2.87,587
2,5,5,0,1.16,61.5,57.0,6.75,6.78,4.16,5207
3,1,2,2,0.5,63.0,61.0,5.07,5.03,3.18,1374
2,3,2,3,0.31,61.2,56.0,4.37,4.39,2.68,493
3,2,5,8,0.33,60.0,60.0,4.45,4.49,2.68,577
2,0,5,8,0.52,62.1,57.0,5.13,5.17,3.2,1689
2,3,1,1,0.3,60.9,58.0,4.32,4.35,2.64,863
1,6,5,2,1.04,57.4,60.0,6.76,6.72,3.87,3844
2,4,7,6,0.34,61.2,56.0,4.51,4.54,2.77,667
4,3,2,9,0.7,61.9,56.0,5.68,5.73,3.53,2042
3,4,4,10,0.91,61.0,59.0,6.25,6.18,3.79,4670
4,1,4,3,0.5,61.7,57.0,5.12,5.16,3.17,1675
3,4,3,10,2.18,59.4,61.0,8.49,8.45,0.0,12631
4,3,3,5,0.72,60.6,57.0,5.79,5.86,3.53,2114
4,6,2,11,1.31,62.5,55.0,6.97,7.05,4.38,5382
3,3,2,1,0.44,60.1,60.0,4.95,4.86,2.95,990
2,3,7,8,0.32,62.2,57.0,4.38,4.36,2.72,936
2,1,6,0,0.3,62.1,57.0,4.27,4.29,2.66,862
3,0,2,6,1.01,62.8,58.0,6.37,6.3,3.98,4751
0,2,0,6,0.5,71.0,57.0,4.87,4.79,3.43,613
2,1,7,11,1.03,61.7,56.0,6.49,6.51,4.01,11611
4,4,6,10,0.43,60.2,55.0,4.92,4.95,2.97,1220
2,3,7,8,0.45,61.2,56.0,4.91,4.96,3.02,1135
1,6,3,1,1.02,63.4,56.0,6.36,6.42,4.05,3534
4,2,5,1,0.26,61.4,56.0,4.09,4.12,2.53,499
2,3,4,2,0.61,61.9,56.0,5.43,5.45,3.37,2167
2,4,3,8,1.04,60.7,57.0,6.51,6.43,3.93,4484
2,3,3,2,2.07,62.0,55.0,8.23,8.13,5.07,17095
3,0,3,8,0.82,61.7,56.0,6.01,5.99,3.7,3159
2,3,6,0,0.24,62.2,56.0,4.0,4.04,2.5,559
4,1,2,11,0.7,61.3,61.0,5.66,5.7,3.48,2275
4,6,2,1,2.5,62.8,57.0,8.58,8.65,5.41,17028
1,2,5,1,1.0,62.4,60.0,6.27,6.29,3.92,6192
3,0,2,8,0.5,62.2,57.0,5.11,5.08,3.17,1654
4,0,4,10,1.0,60.0,60.0,6.44,6.49,3.88,7281
4,2,2,5,0.51,62.0,54.0,5.15,5.18,3.2,1265
1,6,5,5,1.07,61.7,57.7,6.55,6.58,4.05,4602
2,4,4,1,1.67,61.8,56.0,7.6,7.57,4.69,14014
2,1,5,1,0.9,62.3,57.0,6.16,6.19,3.85,6018
4,3,7,12,0.5,60.0,56.0,5.18,5.21,3.12,2260
2,3,6,11,0.5,62.2,56.0,5.08,5.11,3.17,1897
3,6,3,11,1.68,59.2,57.0,7.83,7.72,4.6,7652
4,4,0,11,1.04,61.6,61.0,6.45,6.47,3.98,3203
3,5,1,7,0.3,60.5,59.0,4.34,4.32,2.62,810
3,4,3,5,2.01,62.2,61.0,8.08,8.04,5.01,15673
2,5,5,10,0.32,62.5,57.0,4.35,4.39,2.73,449
1,5,3,10,2.41,57.7,61.0,8.87,8.83,5.11,17923
2,3,5,12,0.52,61.7,56.0,5.15,5.19,3.19,1428
3,3,4,3,0.32,62.1,58.0,4.39,4.37,2.72,828
3,4,2,4,1.01,60.4,60.0,6.55,6.47,3.93,4977
4,1,6,3,0.24,61.7,61.0,3.95,3.99,2.45,485
4,3,4,3,0.3,62.6,56.0,4.29,4.31,2.69,581
1,4,2,6,1.01,62.9,57.0,6.27,6.36,3.97,4496
4,1,3,9,0.92,62.1,58.0,6.18,6.22,3.85,4011
3,3,4,1,0.51,62.1,60.0,5.11,5.1,3.17,1781
2,4,5,1,1.15,62.8,54.0,6.7,6.75,4.22,6772
2,1,4,0,0.53,61.5,55.0,5.22,5.24,3.22,1917
2,5,4,3,0.8,62.9,56.0,5.94,5.87,3.72,2760
0,4,2,6,0.91,65.3,62.0,6.11,6.01,3.96,3278
2,2,5,5,0.7,61.0,55.0,5.74,5.79,3.52,3468
2,1,4,10,0.4,59.2,62.0,4.8,4.83,2.85,1180
3,2,2,5,1.0,59.7,60.0,6.48,6.51,3.88,4851
4,4,7,5,0.9,63.5,55.0,6.14,6.08,3.88,4963
1,1,2,1,0.31,63.5,57.0,4.28,4.32,2.73,544
4,5,3,4,2.01,59.5,58.0,8.18,8.21,4.88,13669
2,3,1,10,0.56,61.4,57.0,5.29,5.32,3.26,2442
2,3,6,1,0.31,62.5,55.0,4.33,4.34,2.71,816
3,3,1,9,0.35,60.6,60.0,4.57,4.54,2.76,1116
2,3,7,4,0.31,62.0,56.0,4.33,4.35,2.69,726
4,1,3,5,2.03,63.7,58.0,7.91,7.94,5.05,16412
3,3,3,1,0.97,61.3,57.0,6.37,6.32,3.89,4101
4,5,5,12,0.71,60.4,60.0,5.72,5.8,3.48,2185
2,1,2,5,0.64,60.9,57.0,5.56,5.58,3.39,2215
3,1,4,10,0.27,61.5,58.0,4.22,4.17,2.58,603
2,2,4,12,1.61,62.0,55.0,7.52,7.55,4.67,17256
3,0,2,1,0.32,60.2,58.0,4.43,4.4,2.66,756
2,4,6,3,0.65,62.4,54.0,5.55,5.57,3.47,2177
3,4,3,11,1.12,61.9,58.0,6.74,6.66,4.15,4704
3,0,5,12,0.51,59.7,58.0,5.18,5.24,3.11,1787
4,1,2,2,0.9,61.8,59.0,6.11,6.16,3.79,4165
3,1,5,5,0.76,60.3,60.0,5.97,5.94,3.59,3107
1,1,3,7,1.01,63.7,55.0,6.38,6.31,4.05,4118
1,3,3,12,0.31,63.3,54.0,4.29,4.34,2.73,408
1,3,4,9,0.3,63.1,58.0,4.24,4.28,2.69,605
2,1,5,9,0.8,60.9,57.0,6.01,6.05,3.67,3930
1,0,3,4,0.33,63.3,53.0,4.39,4.42,2.79,492
4,0,3,0,1.21,62.4,58.0,6.77,6.83,4.24,6248
2,3,5,11,1.06,61.1,57.0,6.56,6.59,4.02,6548
1,3,5,5,1.0,63.6,58.0,6.26,6.35,4.01,5002
3,6,3,12,1.04,62.0,59.0,6.47,6.49,4.02,3603
3,3,2,1,0.47,62.7,58.0,4.99,4.97,3.12,995
3,5,2,3,1.01,58.6,62.0,6.51,6.45,3.8,4072
2,3,4,0,0.33,61.5,56.0,4.45,4.48,2.74,699
